Profile Key 1,Profile Key 2,IDENT,D1,SIB,D2,D(3)
AF83-NA,BF83-NA,<10000,7.2401e+06,28671.8,42164.3,<10000
AF83-NA,BM83-NA,<10000,80652,<10000,<10000,<10000
AF84-NA,BF84-NA,<10000,276377,17778.8,<10000,<10000
AF84-NA,BM84-NA,<10000,991936,31668.5,<10000,<10000
AF85-NA,BF85-NA,<10000,701829,<10000,<10000,<10000
AF85-NA,BM85-NA,<10000,105882,<10000,<10000,<10000
AF85-NA,CM67-NA,<10000,22195.3,<10000,<10000,<10000
AF86-NA,BM86-NA,<10000,33247.1,<10000,<10000,<10000
AF87-NA,BF87-NA,<10000,553923,32320.9,<10000,<10000
AF87-NA,BM87-NA,<10000,12185.4,<10000,<10000,<10000
AF88-NA,BM88-NA,<10000,45322.3,<10000,<10000,<10000
AF89-NA,BF89-NA,<10000,1.94469e+07,411413,76570.7,<10000
AF89-NA,BM89-NA,<10000,6.4905e+06,1.90074e+06,35900.5,<10000
AF90-NA,BF90-NA,<10000,32280.7,<10000,<10000,<10000
AF90-NA,BM90-NA,<10000,29013.7,<10000,<10000,<10000
AF91-NA,BF91-NA,<10000,531240,279057,<10000,<10000
AF91-NA,BM91-NA,<10000,93378.8,139524,<10000,<10000
AF91-NA,CM39-NA,<10000,<10000,35046.5,<10000,<10000
AF91-NA,CM90-NA,<10000,301376,18548.7,<10000,<10000
AF93-NA,BF93-NA,<10000,22926,<10000,<10000,<10000
AF94-NA,BF94-NA,<10000,47676.7,<10000,<10000,<10000
AF94-NA,BM94-NA,<10000,301424,60155.6,<10000,<10000
AF95-NA,BF95-NA,<10000,22766.4,<10000,<10000,<10000
AF95-NA,BM95-NA,<10000,130050,<10000,<10000,<10000
AF96-NA,BF96-NA,<10000,295155,30177.5,<10000,<10000
AF98-NA,BM98-NA,<10000,127013,<10000,<10000,<10000
AF99-NA,BF99-NA,<10000,17424.6,<10000,<10000,<10000
AF100-NA,BF100-NA,<10000,535235,25676,<10000,<10000
AF100-NA,BM100-NA,<10000,5.7475e+09,5.27179e+08,8.32898e+06,48444.8
AF100-NA,CM100-NA,<10000,<10000,60094.1,14971,<10000
AF100-NA,CF101-NA,<10000,<10000,130079,167654,<10000
AF101-NA,BF101-NA,<10000,15432.6,<10000,<10000,<10000
AF101-NA,CM100-NA,<10000,28870.6,<10000,<10000,<10000
AF102-NA,BF102-NA,<10000,5.72133e+06,345940,42442.2,<10000
AF102-NA,BM102-NA,<10000,30838.4,<10000,<10000,<10000
AF103-NA,BF103-NA,<10000,22294.4,<10000,<10000,<10000
AF103-NA,BM103-NA,<10000,239699,<10000,<10000,<10000
AF104-NA,BF104-NA,<10000,34777.8,<10000,<10000,<10000
AF104-NA,BM104-NA,<10000,10602.5,<10000,<10000,<10000
AF105-NA,BF105-NA,<10000,126007,<10000,<10000,<10000
AF105-NA,BM105-NA,<10000,169950,<10000,<10000,<10000
AF106-NA,BF106-NA,<10000,170150,<10000,<10000,<10000
AF106-NA,CF106-NA,<10000,186263,20522.2,<10000,<10000
AF107-NA,BF107-NA,<10000,2.64105e+06,11313.6,21455.8,<10000
AF107-NA,BM107-NA,<10000,3.49822e+06,102831,25660.3,<10000
AF108-NA,BF108-NA,<10000,20018.7,<10000,<10000,<10000
AF109-NA,BF109-NA,<10000,131553,12342.8,<10000,<10000
AF109-NA,BM109-NA,<10000,106922,<10000,<10000,<10000
AF110-NA,BF110-NA,<10000,13102.6,<10000,<10000,<10000
AF111-NA,BF111-NA,<10000,87293.7,<10000,<10000,<10000
AF111-NA,BM111-NA,<10000,61912.5,<10000,<10000,<10000
AF111-NA,CF112-NA,<10000,<10000,13230.7,<10000,<10000
AF112-NA,BF112-NA,<10000,865171,420690,<10000,<10000
AF112-NA,BM112-NA,<10000,611096,1.30822e+06,<10000,<10000
AF113-NA,BF113-NA,<10000,3.7182e+06,68653.3,27496.5,<10000
AF113-NA,BM113-NA,<10000,108091,10313.4,<10000,<10000
AF113-NA,CF113-NA,<10000,<10000,223382,<10000,<10000
AF114-NA,BF114-NA,<10000,6.4431e+06,1.69038e+06,43633.3,<10000
AF114-NA,BM114-NA,<10000,2.3214e+07,7.09247e+06,105079,<10000
AF115-NA,BM115-NA,<10000,1.54887e+06,<10000,15831.7,<10000
AF116-NA,AM34-NA,<10000,<10000,10999.2,<10000,<10000
AF116-NA,BF116-NA,<10000,26161.3,<10000,<10000,<10000
AF116-NA,BM116-NA,<10000,1.48699e+06,<10000,12420.2,<10000
AF117-NA,BF117-NA,<10000,226833,14674,<10000,<10000
AF118-NA,BF118-NA,<10000,448577,486142,<10000,<10000
AF118-NA,BM118-NA,<10000,588516,246679,<10000,<10000
AF118-NA,BF137-NA,<10000,<10000,93364.2,<10000,<10000
AF120-NA,BM120-NA,<10000,234343,13667.2,<10000,<10000
AF121-NA,AM65-NA,<10000,<10000,21046.8,<10000,<10000
AF121-NA,BF121-NA,<10000,14939.5,<10000,<10000,<10000
AF121-NA,BM121-NA,<10000,1.75218e+06,59532,13736.2,<10000
AF122-NA,BF122-NA,<10000,1.94657e+06,<10000,27977.1,<10000
AF122-NA,BM122-NA,<10000,2.07925e+07,68109.1,67587.4,<10000
AF123-NA,BF123-NA,<10000,194737,47099.5,<10000,<10000
AF123-NA,BM123-NA,<10000,91639.8,10044.6,<10000,<10000
AF124-NA,BF124-NA,<10000,1.31599e+06,93377.7,<10000,<10000
AF124-NA,BM124-NA,<10000,97322.4,<10000,<10000,<10000
AF125-NA,BM125-NA,<10000,46201.6,<10000,<10000,<10000
AF126-NA,BF126-NA,<10000,18382.9,<10000,<10000,<10000
AF126-NA,BM126-NA,<10000,1.18777e+07,94828.9,106549,<10000
AF126-NA,CM126-NA,<10000,<10000,83780.6,16840.6,<10000
AF126-NA,CF127-NA,<10000,<10000,<10000,21903.7,<10000
AF127-NA,BF127-NA,<10000,21067.3,14520.1,<10000,<10000
AF127-NA,BM127-NA,<10000,14521.9,<10000,<10000,<10000
AF128-NA,BF128-NA,<10000,24544.1,<10000,<10000,<10000
AF131-NA,BF131-NA,<10000,120606,<10000,<10000,<10000
AF131-NA,BM131-NA,<10000,150646,40580.2,<10000,<10000
AF132-NA,BF132-NA,<10000,470296,<10000,<10000,<10000
AF132-NA,BM132-NA,<10000,431958,250959,<10000,<10000
AF133-NA,BM133-NA,<10000,281805,43430.8,<10000,<10000
AF134-NA,BM134-NA,<10000,21227.1,<10000,<10000,<10000
AF135-NA,BF135-NA,<10000,7.29093e+07,4.76532e+06,412038,<10000
AF135-NA,BM135-NA,<10000,96256.6,<10000,<10000,<10000
AF135-NA,CF135-NA,<10000,<10000,469723,<10000,<10000
AF136-NA,BF136-NA,<10000,194907,48493.8,<10000,<10000
AF136-NA,BM136-NA,<10000,886583,118790,<10000,<10000
AF137-NA,BF137-NA,<10000,1.32694e+06,<10000,10998.1,<10000
AF137-NA,BM137-NA,<10000,124780,<10000,<10000,<10000
AF138-NA,BF138-NA,<10000,143287,<10000,<10000,<10000
AF138-NA,BM138-NA,<10000,575702,96204.7,<10000,<10000
AF139-NA,BF139-NA,<10000,18072.8,<10000,<10000,<10000
AF139-NA,BM139-NA,<10000,10193.5,<10000,<10000,<10000
AF140-NA,BM140-NA,<10000,46165,<10000,<10000,<10000
AF141-NA,BF141-NA,<10000,377493,10649.5,<10000,<10000
AF141-NA,BM141-NA,<10000,429938,<10000,<10000,<10000
AF141-NA,CF142-NA,<10000,60460,<10000,<10000,<10000
AF142-NA,BF142-NA,<10000,4.21642e+06,1.43068e+06,51338.5,<10000
AF142-NA,BM142-NA,<10000,2.0407e+06,<10000,20398.4,<10000
AF143-NA,BF143-NA,<10000,33929.1,<10000,<10000,<10000
AF143-NA,BM143-NA,<10000,582106,63608.6,<10000,<10000
AF144-NA,BF144-NA,<10000,75322.1,<10000,<10000,<10000
AF145-NA,BF145-NA,<10000,29934.2,<10000,<10000,<10000
AF145-NA,BM145-NA,<10000,368619,127164,<10000,<10000
AF148-NA,BF148-NA,<10000,323064,<10000,<10000,<10000
AF149-NA,BF149-NA,<10000,62785.1,<10000,<10000,<10000
AF150-NA,BF150-NA,<10000,52198.5,19295.4,<10000,<10000
AF150-NA,BM150-NA,<10000,12069.3,<10000,<10000,<10000
AF151-NA,BF151-NA,<10000,117427,<10000,<10000,<10000
AF151-NA,BM151-NA,<10000,63098.5,<10000,<10000,<10000
AF153-NA,BF153-NA,<10000,358367,<10000,<10000,<10000
AF153-NA,BM153-NA,<10000,2.54115e+06,3.41348e+06,20973.4,<10000
AF154-NA,BF154-NA,<10000,100210,11150.6,<10000,<10000
AF154-NA,BM154-NA,<10000,1.12123e+06,89182.4,<10000,<10000
AF155-NA,BF155-NA,<10000,522223,<10000,<10000,<10000
AF155-NA,BM155-NA,<10000,77436.1,<10000,<10000,<10000
AF156-NA,BM156-NA,<10000,30265,<10000,<10000,<10000
AF157-NA,BF157-NA,<10000,42818.2,<10000,<10000,<10000
AF157-NA,BM157-NA,<10000,3.80817e+06,67872.1,29823.8,<10000
AF158-NA,BF158-NA,<10000,139052,250283,<10000,<10000
AF158-NA,BM158-NA,<10000,43075.7,<10000,<10000,<10000
AF159-NA,BF159-NA,<10000,135964,18569.5,<10000,<10000
AF159-NA,BM159-NA,<10000,26146.5,<10000,<10000,<10000
AF160-NA,BF160-NA,<10000,82795.3,<10000,<10000,<10000
AF161-NA,BF161-NA,<10000,12705.6,<10000,<10000,<10000
AF162-NA,BF162-NA,<10000,79476,<10000,<10000,<10000
AF162-NA,BM162-NA,<10000,283036,32843.9,<10000,<10000
AF162-NA,CM161-NA,<10000,30583,<10000,<10000,<10000
AF163-NA,BM4-NA,<10000,38688,<10000,<10000,<10000
AF163-NA,BM163-NA,<10000,26982.4,<10000,<10000,<10000
AF164-NA,BF164-NA,<10000,832103,113987,<10000,<10000
AF164-NA,BM164-NA,<10000,146305,<10000,<10000,<10000
AF164-NA,CM40-NA,<10000,26709.8,<10000,<10000,<10000
AF165-NA,BF165-NA,<10000,164028,11264,<10000,<10000
AF165-NA,BM165-NA,<10000,193950,<10000,<10000,<10000
AM0-NA,BF0-NA,<10000,36535.2,<10000,<10000,<10000
AM0-NA,BM0-NA,<10000,173665,10650,<10000,<10000
AM1-NA,BF1-NA,<10000,16897.3,<10000,<10000,<10000
AM2-NA,BF2-NA,<10000,89470.8,<10000,<10000,<10000
AM3-NA,BF3-NA,<10000,15764.3,<10000,<10000,<10000
AM3-NA,BM3-NA,<10000,14257.7,<10000,<10000,<10000
AM4-NA,AM47-NA,<10000,<10000,20627.8,<10000,<10000
AM4-NA,BF4-NA,<10000,18158,<10000,<10000,<10000
AM4-NA,BM4-NA,<10000,83774.3,<10000,<10000,<10000
AM5-NA,BF5-NA,<10000,396151,<10000,<10000,<10000
AM5-NA,BM5-NA,<10000,1.13906e+06,<10000,<10000,<10000
AM6-NA,BF6-NA,<10000,4.82374e+06,38483.7,42012.1,<10000
AM6-NA,BM6-NA,<10000,3.72967e+06,4.9618e+06,32634.2,<10000
AM7-NA,BF7-NA,<10000,549695,56546.4,<10000,<10000
AM7-NA,BM7-NA,<10000,296702,<10000,<10000,<10000
AM8-NA,BF8-NA,<10000,530026,35193.6,<10000,<10000
AM9-NA,BF9-NA,<10000,13923.3,<10000,<10000,<10000
AM9-NA,BM9-NA,<10000,145988,255060,<10000,<10000
AM10-NA,BF10-NA,<10000,454591,<10000,<10000,<10000
AM10-NA,BM10-NA,<10000,236331,<10000,<10000,<10000
AM11-NA,BF11-NA,<10000,143475,13948.6,<10000,<10000
AM11-NA,BM11-NA,<10000,<10000,26087.3,<10000,<10000
AM12-NA,BF12-NA,<10000,1.87323e+07,1.73475e+06,78442,<10000
AM12-NA,BM12-NA,<10000,3.50727e+06,125042,19002.4,<10000
AM13-NA,BF13-NA,<10000,20258.9,<10000,<10000,<10000
AM13-NA,BM13-NA,<10000,283755,<10000,<10000,<10000
AM14-NA,BM14-NA,<10000,19628.8,<10000,<10000,<10000
AM15-NA,BF15-NA,<10000,18890.5,<10000,<10000,<10000
AM16-NA,BM16-NA,<10000,120194,27198.2,<10000,<10000
AM17-NA,BF17-NA,<10000,86666.1,<10000,<10000,<10000
AM17-NA,BM17-NA,<10000,415712,21296,<10000,<10000
AM19-NA,BF19-NA,<10000,451904,<10000,<10000,<10000
AM19-NA,BM19-NA,<10000,192403,38468.4,<10000,<10000
AM19-NA,BF45-NA,<10000,20435.9,<10000,<10000,<10000
AM19-NA,CF103-NA,<10000,<10000,16877.5,<10000,<10000
AM20-NA,BF20-NA,<10000,28626.9,<10000,<10000,<10000
AM20-NA,BM20-NA,<10000,239546,32857,<10000,<10000
AM21-NA,BF21-NA,<10000,173576,<10000,<10000,<10000
AM21-NA,BM21-NA,<10000,242174,10818.7,<10000,<10000
AM22-NA,BF22-NA,<10000,75524.7,<10000,<10000,<10000
AM22-NA,BM22-NA,<10000,188334,13097.8,<10000,<10000
AM23-NA,BF23-NA,<10000,37973.1,<10000,<10000,<10000
AM23-NA,BM23-NA,<10000,190951,20801.9,<10000,<10000
AM24-NA,BF24-NA,<10000,741822,107933,<10000,<10000
AM24-NA,BM24-NA,<10000,3.43012e+06,4.11224e+07,17666.8,<10000
AM25-NA,BF25-NA,<10000,734563,23053.8,<10000,<10000
AM25-NA,BM25-NA,<10000,110472,45667.2,<10000,<10000
AM26-NA,BF26-NA,<10000,95274.5,17348.4,<10000,<10000
AM26-NA,BM26-NA,<10000,95007.8,16188.6,<10000,<10000
AM27-NA,BF27-NA,<10000,1.11932e+06,10835.9,<10000,<10000
AM27-NA,BM27-NA,<10000,802391,574031,10502.5,<10000
AM28-NA,BF28-NA,<10000,7.99206e+06,445690,50355.7,<10000
AM28-NA,BM28-NA,<10000,2.04381e+06,383529,16976.6,<10000
AM28-NA,CM28-NA,<10000,<10000,21146.9,<10000,<10000
AM29-NA,BF29-NA,<10000,757423,23764.7,<10000,<10000
AM29-NA,BM29-NA,<10000,197619,<10000,<10000,<10000
AM30-NA,BF30-NA,<10000,674753,<10000,<10000,<10000
AM30-NA,BM30-NA,<10000,660606,39344.5,<10000,<10000
AM31-NA,BF31-NA,<10000,70829.8,<10000,<10000,<10000
AM31-NA,BM31-NA,<10000,394856,<10000,<10000,<10000
AM32-NA,BF32-NA,<10000,93535.3,44433.1,<10000,<10000
AM32-NA,BM32-NA,<10000,288322,133269,<10000,<10000
AM33-NA,BF33-NA,<10000,35901.1,<10000,<10000,<10000
AM33-NA,BM33-NA,<10000,34436.2,<10000,<10000,<10000
AM34-NA,BF34-NA,<10000,1.11074e+07,336018,100679,<10000
AM34-NA,BM34-NA,<10000,712068,46680.7,<10000,<10000
AM35-NA,BF35-NA,<10000,674928,14641.7,<10000,<10000
AM35-NA,BM35-NA,<10000,138797,33209.6,<10000,<10000
AM35-NA,CM34-NA,<10000,93812.5,<10000,<10000,<10000
AM36-NA,BF36-NA,<10000,108013,<10000,<10000,<10000
AM36-NA,BM36-NA,<10000,525950,28499.2,<10000,<10000
AM37-NA,BF37-NA,<10000,104710,<10000,<10000,<10000
AM37-NA,BM37-NA,<10000,46157.1,<10000,<10000,<10000
AM37-NA,CF98-NA,<10000,12884.3,<10000,<10000,<10000
AM37-NA,CF145-NA,<10000,14500.3,<10000,<10000,<10000
AM38-NA,BF38-NA,<10000,393160,<10000,<10000,<10000
AM38-NA,BM38-NA,<10000,51235.6,<10000,<10000,<10000
AM39-NA,BF39-NA,<10000,432279,13034.4,<10000,<10000
AM39-NA,BM39-NA,<10000,29962.7,<10000,<10000,<10000
